work_dir,rt_weight,precursor_mz_weight,spec_weight,spec_sim_type,feature_id,top1_score,top2_avg_score,top3_avg_score,top1_gap,top1_margin,top2_margin,top3_margin,H_norm
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10193,0.2369355697760128,,,,,,,
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10231,0.7009336871152179,0.5174500593900163,0.37411753959334265,0.36696725545040304,0.6134811871152226,,,0.7769304922133717
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10325,0.36452645840489256,0.3479746473466928,0.34245694026588896,0.033103622116399445,0.08354682362660587,0.08380897634373757,0.09854816758558116,0.99361857051341
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10448,0.5384710798629898,0.5116363567306715,0.4972677210933138,0.053669446264636544,0.06994063004439155,,0.09854816758558116,0.9983732021734254
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10713,0.303382550017493,0.2770612937653061,0.21707302917687207,0.05264251250437374,0.20753555001749077,0.1816307937653045,0.12176152917687064,0.9211008876041547
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10743,0.11547745391346301,0.10446025222777605,0.10072009973855704,0.022034403371373898,0.022237659153344025,,0.12176152917687064,0.9952215421760255
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10813,0.09998288177990042,0.0996098021250842,0.09754889986485703,0.000746159309632427,0.006555786435497743,,0.12176152917687064,0.9995864198346966
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10937,0.4160882691563579,0.3984195960840855,0.39217155922666125,0.0353373461445447,0.07273907921812639,0.06717917133704776,0.06568411500360505,0.997572534938554
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10951,0.4637391494080801,0.4429355063077274,0.43221579634756496,0.04160728620070542,0.052962772980839956,,0.06568411500360505,0.9987491116680879
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N10978,0.2226954464052285,0.4429355063077274,0.43221579634756496,0.04160728620070542,0.052962772980839956,,0.06568411500360505,0.9987491116680879
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N11103,0.587773310486142,0.5777850934124749,0.43221579634756496,0.0199764341473343,,,0.06568411500360505,0.9997844195099571
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N11463,0.4322072659391848,0.3527917474564016,0.43221579634756496,0.15883103696556627,,,0.06568411500360505,0.963132248649608
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N11510,0.33128186811261645,0.33118301394595,0.43221579634756496,0.00019770833333287996,,,0.06568411500360505,0.999999935731465
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N11520,0.4684199675012822,0.45918554030852776,0.45544588057477453,0.01846885438550877,0.1405378525218391,0.1713315740383597,0.1850073608820303,0.984209906547148
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N11573,0.3434631238993174,0.3421662089547123,0.2582465559698098,0.002593829889210142,0.2530558738993125,,0.1850073608820303,0.8852442302392524
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N11618,0.308217421413102,0.28153519955445827,0.22538753087356497,0.05336444371728749,0.19512522790132358,,0.1850073608820303,0.932974284214288
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N11812,0.3072687076177236,0.2758380898152386,0.26504867554774375,0.06286123560496998,0.14006152231001354,0.1340517917425432,0.14418543509681653,0.9670160809917508
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N11845,0.2595867650736936,0.24935326304394967,0.26504867554774375,0.020467004059487898,,0.1340517917425432,0.14418543509681653,0.9987846958797308
example/hyperparams_opt/Hela/equal_param_set_10,0.04999999999999999,0.04999999999999999,0.9,None,N12489,0.3273336428519899,0.2720281198915072,0.26504867554774375,0.11061104592096543,,0.1340517917425432,0.14418543509681653,0.9699748074120469
