work_dir,rt_weight,precursor_mz_weight,spec_weight,spec_sim_type,feature_id,top1_score,top2_avg_score,top3_avg_score,top1_gap,top1_margin,top2_margin,top3_margin,H_norm
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10193,0.5740749826816405,,,,,,,
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10231,0.7528946769186233,0.6459848384593068,0.5704498923062039,0.21381967691863313,0.3335146769186252,,,0.973719038034753
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10325,0.615901835500375,0.6156167105003763,0.6122447952966588,0.0005702499999974409,0.07903417239011457,0.1016268146497703,0.1140271074847331,0.9974700314909184
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10448,0.6892412457972475,0.682906126193473,0.680484357380596,0.012670239207549172,0.013600426042405633,,0.1140271074847331,0.9999622532305492
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10713,0.5804350000000025,0.5728415000000018,0.5703103333333349,0.015187000000001283,0.06352441666666764,0.07204338888888906,0.08655016666666515,0.9982110434233371
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10743,0.5595779071237975,0.5514672035618976,0.545035061270292,0.016221407123799825,0.02740713043671672,,0.08655016666666515,0.9998063135737613
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10813,0.561397450364746,0.5595571247908866,0.5551222997300976,0.00368065114771865,0.015144800756226262,,0.08655016666666515,0.9999384412446342
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10937,0.6362984117849836,0.634173636048422,0.6317547517701327,0.004249551473123225,0.058858872488805725,0.07322657805803623,0.07549530041632924,0.9989908739195317
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10951,0.6516988397534933,0.6468806478419029,0.6450849145618097,0.009636383823180772,0.010205391751869741,,0.07549530041632924,0.9999760601868278
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N10978,0.4880894581268788,0.6468806478419029,0.6450849145618097,0.009636383823180772,0.010205391751869741,,0.07549530041632924,0.9999760601868278
example/hyperparams_opt/Hela/unequal_param_set_7,0.6000000000000001,-0.20000000000000018,0.6000000000000001,None,N11103,0.7094073196266542,0.6906243369958387,0.6450849145618097,0.03756596526163103,,,0.07549530041632924,0.999466366048782
